City,State/Country,Estimate (low),Estimate (high),Average
Abilene,TX,200,200,200
Accident,MD,54,54,54
Adak,AK,10,10,10
Adrian,MI,,,
Ajo,AZ,,,
Alamosa,CO,350,350,350
Albany,CA,,,
Albany,NY,7000,9000,8000
Albuquerque,NM,3000,20000,11500
Alpine,TX,96,96,96
Amarillo,TX,600,600,600
Amelia Island,FL,700,700,700
Anacortes,WA,,,
Anchorage,AK,2000,3000,2500
Ann Arbor,MI,11000,11000,11000
Annapolis,MD,1600,1600,1600
Arlington,VA,,,
Asbury Park,NJ,6000,6000,6000
Asheville,NC,7000,10000,8500
Ashland,OR,6000,6000,6000
Aspen,CO,1000,1000,1000
Astoria,OR,100,1000,550
Athens,GA,700,5000,2850
Atlanta,GA,60000,60000,60000
Augusta,GA,600,600,600
Augusta,ME,10000,10000,10000
Austin,TX,30000,50000,40000
Avalon,CA,44,44,44
Bainbridge Island,WA,,,
Baltimore,MD,5000,5000,5000
Bandon,OR,70,70,70
Barrow,AK,,,
Bayfield,WI,427,427,427
Beaumont,TX,300,300,300
Beaver,PA,,,
Bellingham,WA,5000,6000,5500
Bemidji,MN,250,500,375
Bend,OR,5000,5000,5000
Bentonville,AR,,,
Berkeley,CA,,,
Bethel,AK,,,
Bethlehem,PA,500,500,500
Bettendorf,IA,800,800,800
Beverly Hills,CA,,,
Binghamton,NY,2000,3000,2500
Birmingham,AL,5000,10000,7500
Bishop,CA,600,600,600
Bismarck,ND,500,500,500
Black Mountain,NC,400,400,400
Bluff,UT,,,
Bloomsburg,PA,,,
Boise,ID,5000,5000,5000
Borrego Springs,CA,,,
Boston,MA,175000,175000,175000
Bozeman,MT,,,
Breen,CO,1,1,1
Brighton,MI,300,300,300
Brattleboro,VT,250,250,250
Brookings,OR,,,
Brownsville,TX,300,300,300
Brunswick,ME,300,300,300
Buffalo,NY,2500,3000,2750
Burbank,CA,300,300,300
Burns,OR,20,20,20
Burnsville,NC,,,
Canton,NY,135,135,135
Carbondale,CO,200,650,425
Carbondale,IL,1000,1000,1000
Carmel,CA,,,
Casper,WY,700,1000,850
Cedaredge,CO,,,
Champaign,IL,5000,5000,5000
Charleston,SC,2000,2000,2000
Charleston,WV,3000,3000,3000
Charlotte,NC,10000,10000,10000
Charlottesville,VA,2500,2500,2500
Chattanooga,TN,1000,3000,2000
Chelan,WA,,,
Chesapeake Bay,MD,1,1,1
Cheyenne,WY,1500,2000,1750
Chicago,IL,250000,250000,250000
Chico,CA,3000,3000,3000
Chillicothe,OH,1000,1000,1000
Cincinnati,OH,5000,10000,7500
Clare,MI,24,24,24
Clemson,SC,500,500,500
Cleveland,OH,15000,15000,15000
Cobb,CA,2,2,2
Cobbleskill,NY,300,300,300
Cody,WY,500,500,500
College Station,TX,,,
Colorado Springs,CO,7000,7000,7000
Clumbia,MO,3000,3604,3302
Columbia,SC,2000,2000,2000
Columbus,OH,,,
Compton,CA,,,
Concord,NH,6000,6000,6000
Conover,WI,1,1,1
Cooperstown,NY,200,200,200
Coos Bay,OR,200,200,200
Copper Harbor,MI,19,19,19
Cordova,AK,,,
Corpus Christi,TX,24,24,24
Cortez,CO,400,504,452
Corvallis,OR,100,100,100
Crestone,CO,1,1,1
Dallas,TX,5000,8000,6500
Dayton,OH,3000,3000,3000
Daytona Beach,FL,100,100,100
Decorah,IA,,,
Delhi,NY,,,
Deming,NM,,,
Denton,TX,2500,2800,2650
Denver,CO,200000,200000,200000
Des Moines,IA,26000,26000,26000
Detroit,MI,4000,4000,4000
Disability (online),,,,
Douglas-Saugatuck,MI,1200,2500,1850
Doylestown,PA,1000,1000,1000
Driggs,ID,1000,1000,1000
Dubuque,IA,400,400,400
Duluth,MN,1500,1500,1500
Durango,CO,1000,1000,1000
Eagle Pass,TX,,,
East Haddam,CT,500,500,500
Eastport,ME,70,70,70
Eastsound,WA,,,
Eau Claire,WI,250,250,250
El Paso,TX,1000,1000,1000
Elgin,IL,200,1000,600
Elkton,OR,,,
Ellsworth,ME,60,60,60
Ely,MN,50,50,50
Ephrata,WA,250,250,250
Erie,PA,2500,2500,2500
Eugene,OR,7000,10000,8500
Eureka,CA,2000,80000,41000
Fairbanks,AK,1000,1000,1000
Fairfield,IA,200,200,200
Fairmont,WY,95,95,95
Falmouth,MA,1000,1000,1000
Fargo,ND,1000,3000,2000
Fayetteville,AR,1000,1000,1000
Fernandina Beach,FL,1000,1300,1150
Flagstaff,AZ,1200,1200,1200
Florence,OR,,,
Floyd,VA,200,200,200
Forks,WA,45,45,45
Fort Wayne,IN,1000,1000,1000
Fort Bragg,CA,,,
Fort Sumner,NM,,,
Fort Worth,TX,5000,6000,5500
Francestown,NH,134,134,134
Frederick,MD,1000,1000,1000
Fredonia,NY,,,
Fresno,CA,2000,2000,2000
Friday Harbor,WA,1500,1500,1500
Gainesville,FL,1000,1000,1000
Galesburg,IL,100,100,100
Gila,NM,1,1,1
Glen Falls,NY,1000,1000,1000
Glenwood Springs,CO,100,100,100
Gold Canyon,AZ,,,
Gouldsboro,ME,25,25,25
Grand Forks,ND,304,304,304
Grand Junction,CO,4500,5000,4750
Grand Rapids,MI,300,300,300
Green Bay,WI,200,200,200
Green Valley,AZ,400,400,400
Greenfield,MA,1000,2000,1500
Greensboro,NC,3000,6000,4500
Greenville,SC,2000,2000,2000
Greenwood,IN,,,
Gross Pointe,MI,,,
Gualala,CA,,,
Gulfport,MS,300,300,300
Gustavus,AK,105,105,105
Haines,AK,150,170,160
Halfway,OR,,,
Harrisburg,PA,1100,1100,1100
Hartford,CT,10000,10000,10000
Hattiesburg,MS,,,
Helena,AR,2,2,2
Helena,MT,10000,10000,10000
Hemet,CA,,,
Hilo,HI,1500,2200,1850
Hillsborough,NC,200,200,200
Homer,AK,900,900,900
Honolulu,HI,8000,8000,8000
Houghton,MI,500,500,500
Houston,TX,20000,22000,21000
Hudson,NY,1500,3000,2250
Idaho Falls,ID,500,500,500
Indiana,PA,100,200,150
Indianapolis,IN,4000,10000,7000
Inverness,CA,5,5,5
Iowa City,IA,1000,1000,1000
Ithaca,NY,10000,10000,10000
Jackson,NH,,,
Jackson,MS,750,5000,2875
Jackson Hole,WY,1000,1000,1000
Jacksonville,FL,2000,3000,2500
Jerome,AZ,,,
Jonesborough ,TN,1000,1000,1000
Joseph,OR,310,310,310
June Lake,CA,,,
Juneau,AK,1000,1000,1000
Kahului,HI,,,
Kalamazoo,MI,1000,1000,1000
Kanab,UT,175,175,175
Kansas City,MO,10000,10000,10000
Kauai,HI,2000,2000,2000
Kawaihae,HI,50,50,50
Keene,NH,300,300,300
Kennbunk,ME,700,700,700
Kent,CT,180,180,180
Kent,OH,100,100,100
Ketchikan,AK,150,150,150
Ketchum,ID,1150,1150,1150
Key West,FL,3200,3200,3200
